Model,MAE,RMSE,R²,CV R²
LightGBM,1.2512239350138465,1.8153198250055647,0.8133308883680068,0.7152245488936148
Gradient Boosting,1.260643087030787,1.8571392704692022,0.8049070905462665,0.6780902591509316
XGBoost,1.2924188219427775,1.86570859339092,0.8030803131594304,0.6778897624709632
Random Forest,1.429137653451657,2.0843607025121114,0.7513443073674138,0.6377427192405958
Baseline,3.512343970846844,4.449524433455369,-0.0592315449344453,
